Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
KEYS,Keysight Technologies Inc Comm,97.42,2.66,2.81%,94.94,97.48,93.45,2516600,03/02/2020
KHC,Kraft Heinz Company,26.07,1.3,5.25%,24.75,26.08,24.57,14470699,03/02/2020
KIM,Kimco Realty Corp,17.82,0.47,2.71%,17.39,17.87,16.99,5957000,03/02/2020
KLAC,K L A-Tencor Corp,158.74,5.03,3.27%,154.5,159,151.71,2706700,03/02/2020
KMB,Kimberly-Clark Corp,141.1,9.91,7.55%,132.13,141.18,132.13,3094700,03/02/2020
KMI,Kinder Morgan,20.24,1.07,5.58%,19.36,20.28,19.1,22540301,03/02/2020
KMPR,Kemper Corp,74.23,5.39,7.83%,69.15,74.25,68.91,379000,03/02/2020
KMX,Carmax Inc,89.74,2.43,2.78%,87.3,89.84,85.22,1827500,03/02/2020
KNX,Knight-Swift Transporation Inc,33.24,1.3,4.07%,32.18,33.29,31.57,2647100,03/02/2020
KO,Coca-Cola Company,55.92,2.43,4.54%,53.93,55.96,53.7,25698602,03/02/2020
KOS,Kosmos Energy Ltd,2.91,-0.14,-4.59%,3.1,3.11,2.83,11781899,03/02/2020
KR,Kroger Company,29.68,1.55,5.51%,28.44,29.69,28.28,11951101,03/02/2020
KRC,Kilroy Realty Corp,76.11,3.42,4.70%,72.88,76.17,72.29,1342300,03/02/2020
KSS,Kohl's Corp,38.44,-0.71,-1.81%,39.2,39.2,37.17,5781600,03/02/2020
KSU,Kansas City Southern,155.06,4.38,2.91%,151.57,156.02,147.5,2078600,03/02/2020
L,Loews Corp,48.69,3.06,6.71%,45.67,48.71,45.55,1988900,03/02/2020
LAMR,Lamar Advertis A,84.88,1.14,1.36%,84.14,85.14,81.31,679700,03/02/2020
LAZ,Lazard Ltd,37.95,2.13,5.95%,35.98,37.96,35.68,1011500,03/02/2020
LB,L Brands Inc,22.25,0.59,2.72%,21.84,22.33,21.15,9563399,03/02/2020
LBRDA,Liberty Broadbd A,126.21,2.53,2.05%,124.15,126.32,124.01,178700,03/02/2020
LBRDK,Liberty Broadbd C,128.56,2.67,2.12%,126.92,128.56,125.95,1167600,03/02/2020
LDOS,Leidos Holdings Inc,110.06,7.41,7.22%,104.28,110.07,102.93,1437600,03/02/2020
LEA,Lear Corp,114.07,2.87,2.58%,112,114.43,108.59,678700,03/02/2020
LECO,Lincoln Elec Hld,85.11,3.22,3.93%,82.63,85.34,81.76,498800,03/02/2020
LEG,Leggett & Platt Inc,40.25,0.59,1.49%,39.7,40.29,38.34,1300700,03/02/2020
LEN,Lennar Corp,62.62,2.28,3.78%,60.77,62.69,59.83,4723600,03/02/2020
LEN.B,Lennar Corp Cl B,49.44,1.63,3.41%,48.02,49.51,47.38,105000,03/02/2020
LFUS,Littelfuse Inc,163.17,3.49,2.19%,161.28,163.39,156.46,148200,03/02/2020
LGF.A,Lions Gate Entertainment Corp Cl A,8.19,0.24,3.02%,8.02,8.19,7.6,2346300,03/02/2020
LGF.B,Lions Gate Entertainment Corp Cl B,7.6,0.2,2.70%,7.45,7.6,7.06,1503200,03/02/2020
LH,Laboratory Corp of America Holdings,187.96,12.27,6.98%,176.6,188.42,176.6,1390800,03/02/2020
LHX,L3Harris Technologies Inc,202.05,4.32,2.18%,197.9,202.99,194.71,2246700,03/02/2020
LII,Lennox International,240.08,11.95,5.24%,230.28,240.42,227.53,354200,03/02/2020
LIN,Linde Plc,198.15,7.14,3.74%,191.3,198.3,189.41,3489600,03/02/2020
LKQ,LKQ Corp,29.9,0.32,1.08%,29.57,29.91,28.91,3087400,03/02/2020
LLY,Eli Lilly and Company,132.84,6.71,5.32%,127.55,133,126.21,7355600,03/02/2020
LM,Legg Mason Inc,49.98,0.16,0.32%,50.05,50.05,49.78,3888000,03/02/2020
LMT,Lockheed Martin Corp,381.35,11.48,3.10%,371.35,383.1,360.57,2859800,03/02/2020
LNC,Lincoln National Corp,48.28,2.89,6.37%,45.79,48.28,44.84,3389200,03/02/2020
LNG,Cheniere Energy,52.08,0.79,1.54%,51.72,52.76,50.75,4743000,03/02/2020
LNT,Alliant Energy Corp,55.36,3.24,6.22%,52.21,55.47,52.13,2205300,03/02/2020
LOGM,Logmein Inc,85.06,-0.18,-0.21%,85.12,85.32,84.72,1184900,03/02/2020
LOPE,Grand Canyon Educati,79.73,-0.95,-1.18%,81.06,81.8,78.02,913300,03/02/2020
LOW,Lowe's Companies,111.04,4.47,4.19%,107.35,111.18,105.09,8793900,03/02/2020
LPLA,Lpl Financial Hld,82.5,3.02,3.80%,80.03,82.82,78.94,1299400,03/02/2020
LRCX,Lam Research Corp,300.33,6.9,2.35%,296.64,300.55,284.02,2347200,03/02/2020
LSI,Life Storage,112.71,4.8,4.45%,108.6,113.23,108.27,679900,03/02/2020
LSTR,Landstar System,105.1,4.13,4.09%,100.31,105.23,100.18,447000,03/02/2020
LSXMA,Liberty Srs XM CS A,45.29,0.62,1.39%,44.78,45.32,44,773100,03/02/2020
LSXMK,Liberty Srs XM CS C,45.16,0.54,1.21%,44.72,45.51,43.9,1157000,03/02/2020
LULU,Lululemon Athletica,228.9,11.49,5.28%,219.19,229.21,216.49,2333800,03/02/2020
LUV,Southwest Airlines Company,46.95,0.76,1.65%,46.54,47.18,44.34,9043101,03/02/2020
LVS,Las Vegas Sands,58.26,-0.05,-0.09%,58.9,58.9,56.6,6246500,03/02/2020
LW,Lamb Weston Holdings Inc,86.65,-0.24,-0.28%,86.94,88.45,85.21,2420900,03/02/2020
LYB,Lyondellbasell Industries NV,74.52,3.06,4.28%,72.34,74.58,70.88,3631300,03/02/2020
LYFT,Lyft Inc Cl A,36.91,-1.21,-3.17%,38.1,38.49,36.1,11296300,03/02/2020
LYV,Live Nation Entertainment,57.96,-2.81,-4.62%,61.1,61.1,55.32,5761600,03/02/2020
M,Macy's Inc,12.99,-0.24,-1.81%,13.3,13.31,12.43,20747199,03/02/2020
MA,Mastercard Inc,306.74,16.49,5.68%,298.89,306.96,289.44,9688000,03/02/2020
MAA,Mid-America Apartment Communities,135.4,6.14,4.75%,130.21,135.62,129.86,993300,03/02/2020
MAC,Macerich Company,20.36,-0.06,-0.29%,20.49,20.5,19.28,5322000,03/02/2020
MAN,Manpower Inc,76.54,0.6,0.79%,76.31,76.63,73,875000,03/02/2020
MANH,Manhattan Assoc,68.33,0.97,1.44%,67.62,68.44,65.75,640300,03/02/2020
MAR,Marriot Int Cl A,122.96,-1.04,-0.84%,123.07,123.68,116.64,6375400,03/02/2020
MAS,Masco Corp,43.35,2.03,4.91%,41.59,43.39,41.47,4842900,03/02/2020
